2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,9,9,9,9,9,9,2,2
2,2,2,0,12,9,2,2,2,2,12,0,2,2,2,10,10,10,9,0,0,0,0,0,9,2,0,12,2,9,2,2
2,2,2,0,12,9,2,2,12,0,0,0,0,0,2,9,10,10,9,12,2,0,2,12,9,2,0,0,2,9,2,2
2,2,2,0,0,9,9,9,9,9,9,9,9,0,2,9,10,10,9,2,2,0,2,2,9,2,2,0,2,9,2,2
2,2,2,0,2,2,2,2,2,2,2,2,9,0,2,9,10,10,9,0,0,0,0,0,9,2,2,0,0,9,2,2
9,9,9,1,9,9,9,9,9,9,9,9,9,0,2,9,10,10,9,12,2,0,2,12,9,2,2,0,12,9,2,2
2,2,2,0,2,2,2,2,0,12,2,2,2,0,2,9,10,10,9,2,2,0,2,2,9,2,2,0,2,9,2,2
2,2,2,0,0,0,0,0,0,2,2,2,2,0,2,9,10,10,9,9,9,1,9,9,9,2,2,0,2,9,2,2
13,13,13,13,0,0,4,4,4,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,9,2,2
13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,2,2
13,13,13,13,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,2,2
13,13,13,13,0,0,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
